Country Code,Countries/territories,Region,Year,Population group selected,Population analysed,% pop analysed of tot country pop,Population in Phase 3 or above #,Population in Phase 3 or above %,Population in Phase 1 #,Population in Phase 1 %,Population in Phase 2 #,Population in Phase 2 %,Population in Phase 3 #,Population in Phase 3 %,Population in Phase 4 #,Population in Phase 4 %,Population in Phase 5 #,Population in Phase 5 %,Major Food Crisis,Primary driver,Secondary driver,Tertiary driver,Total country population,Total country GDP (US$),GDP per capita (US$)
NGA,Nigeria,WEST AFRICA,2016,Whole country,91969254.0,0.49,8081077.0,0.08786715830053378,65326123,0.7103039348345698,18562054.0,0.20182890686489638,6196715.0,0.06737811529927165,1829349.0,0.019890875705048123,55013.0,0.0005981672962140152,Y,Conflict/insecurity,,,195443700.0,404649125252.16,2070.4127339595
NIC,Nicaragua,LAC,2016,,5900000.0,1.0,100000.0,0.01694915254237288,merged with Phase 2 ,,5800000.0,0.9830508474576272,,,,,,,N,Weather extremes,,,6232666.0,13286093388.4752,2131.68704828322
NPL,Nepal,ASIA,2016,Whole country,28900000.0,1.0,430000.0,0.014878892733564015,merged with Phase 2 ,,28470000.0,0.985121107266436,,,,,,,N,Weather extremes,,,27955462.0,24524109483.5293,877.256454696737
PAK,Pakistan,ASIA,2016,Whole country,,,,,,,,,,,,,,,,,,,220138869.0,313630000130.435,1424.69161195897
PER,Peru,LAC,2016,,,,,,,,,,,,,,,,,,,,30866494.0,191898104390.379,6217.03599995447
PHL,Philippines,ASIA,2016,Whole country,,,,,,,,,,,,,,,,,,,106735719.0,318627003016.731,2985.19564024046
PLW,Palau,ASIA,2016,,,,,,,,,,,,,,,,,,,,17797.0,298323500.0,16762.5723436534
PNG,Papua New Guinea,ASIA,2016,Whole country,,,,,,,,,,,,,,,,,,,8961718.0,20758876952.6232,2316.39479758492
PRK,Democratic People's Republic of Korea,ASIA,2016,Whole country,25300000.0,1.0,4261635.0,0.16844407114624507,15438365,0.6102120553359683,5600000.0,0.22134387351778656,,,,,,,N,Weather extremes,,,25698326.0,,
PRY,Paraguay,LAC,2016,,,,,,,,,,,,,,,,,,,,6249126.0,36089700222.9461,5775.1596339946
PSE,Palestine,MENA,2016,,,,,,,,,,,,,,,,,,,,4367088.0,15405400000.0,3527.61382413178
RUS,Russian Federation,,2016,,,,,,,,,,,,,,,,,,,,145015460.0,1276786350881.14,8663.158203125
RWA,Rwanda,EAST AFRICA,2016,,,,,,,,,,,,,,,,,,,,11919183.0,8695272060.67925,729.519134044611
SDN,Sudan,EAST AFRICA,2016,Whole country,37127057.00000001,0.88770818353216,4415355.0,0.11892553185672648,20639977.000000007,0.5559281738921564,12071725.0,0.3251462942511172,4275118.0,0.1151483135331734,140237.0,0.0037772183235530894,0.0,0.0,Y,Conflict/insecurity,,,41259892.0,42630376000.0,1033.21594238281
SEN,Senegal,WEST AFRICA,2016,Whole country,11907105.0,0.76,345049.0,0.028978412468857878,9416177,0.7908032221098243,2145879.0,0.18021836542131778,345049.0,0.028978412468857878,0.0,0.0,0.0,0.0,N,Economic shocks,,,15034521.0,19040312333.1864,1266.43957151587
SLB,Solomon Islands,ASIA,2016,,,,,,,,,,,,,,,,,,,,662379.0,1379490304.2254,2082.62989047871
SLE,Sierra Leone,WEST AFRICA,2016,Whole country,6369763.0,0.97,159003.0,0.024962153222969206,5415164,0.8501358684773672,795597.0,0.12490213529137584,159003.0,0.024962153222969206,0.0,0.0,0.0,0.0,N,Economic shocks,,,7205328.0,6084297211.10217,844.416411175476
SLV,El Salvador,LAC,2016,Whole country,,,,,,,,,,,,,,,,,,,6200800.0,24191430000.0,3901.34014965811
SOM,Somalia,EAST AFRICA,2016,Whole country,12327530.0,1.0000000811192575,2912000.0,0.23621925884585152,6083530,0.4934913968978376,3332000.0,0.27028934425631085,2473000.0,0.20060790766682376,439000.0,0.03561135117902775,0.0,0.0,Y,Weather extremes,,,14348740.0,6613743069.99912,460.928490585175
